Timestamp,Time,Date,DateTime,Occupants,Temperature,Humidity,Pressure ,Luminance,I1,I2,I3,Ap_P1,Ap_P2,Ap_P3,V1,V2,V3,AC_P1,AC_P2,AC_P3,RE_P1,RE_P2,RE_P3,PF1,PF2,PF3,PA1,PA2,PA3,F,DU,PM1,PM25,PM10,CO2,TVOC,CO,NO2,NH3,C3H8,C4H10,CH4,H2,C2H50H,B,temp,feelslike,dew,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,uvindex,Thermal Sensation 1,Body Temperature 1,Metabolic Rate 1,BMI 1,CLO 1,Thermal Sensation 2,Body Temperature,Metabolic Rate 2,BMI 2,CLO 2,Thermal Sensation 3,Body Temperature 3,Metabolic Rate 3,BMI 3,CLO 3,Thermal Sensation 4,Body Temperature 4,Metabolic Rate 4,BMI 4,CLO 4
1.67E+12,0:01:00,08/11/2022,08/11/2022 0:01,0,23.59,50.67,954.67,0,0.14,0,0,0.02,0,0,214.79,0.17,0.12,8.89,0,0,8.44,0,0,3,0,0,0.95,0.95,0.95,49.94,0,30,44,53,2010,765,4,0,1,493,472,631,1,2,0,14.9,14.9,6.19,55.95,0,7.2,7.6,7.72,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:02:00,08/11/2022,08/11/2022 0:02,0,23.52,50.86,954.65,0,0.14,0,0,0.02,0,0,214.8,0.17,0.12,8.89,0,0,8.44,0,0,3,0,0,0.95,0.95,0.95,49.94,0,29,42,51,2010,765,4,0,1,529,485,631,1,2,0,14.9,14.9,6.17,55.9,0,7.2,7.6,7.74,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:03:00,08/11/2022,08/11/2022 0:03,0,23.61,50.58,954.66,0,0.14,0,0,0.02,0,0,214.82,0.17,0.12,8.89,0,0,8.45,0,0,3,0,0,0.95,0.95,0.95,49.94,0,31,46,56,2001,748,4,0,1,423,444,631,1,2,0,14.9,14.9,6.16,55.86,0,7.2,7.6,7.76,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:04:00,08/11/2022,08/11/2022 0:04,0,23.72,50.4,954.64,0,0.14,0,0,0.02,0,0,214.84,0.17,0.12,8.89,0,0,8.45,0,0,3.33,0,0,0.95,0.95,0.95,49.94,0,30,42,51,2015,773,4,0,1,635,402,631,1,2,0,14.89,14.89,6.15,55.81,0,7.2,7.6,7.77,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:05:00,08/11/2022,08/11/2022 0:05,0,23.64,50.51,954.65,0,0.14,0,0,0.02,0,0,214.85,0.17,0.12,8.9,0,0,8.45,0,0,3.67,0,0,0.95,0.95,0.95,49.94,0,29,44,53,2015,773,4,0,1,544,406,631,1,2,0,14.89,14.89,6.13,55.77,0,7.2,7.6,7.79,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:06:00,08/11/2022,08/11/2022 0:06,0,23.6,50.58,954.65,0,0.14,0,0,0.02,0,0,214.87,0.17,0.12,8.9,0,0,8.46,0,0,4,0,0,0.95,0.95,0.95,49.94,0,30,42,50,2022,787,4,0,1,519,382,631,1,2,0,14.89,14.89,6.12,55.72,0,7.2,7.6,7.81,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:07:00,08/11/2022,08/11/2022 0:07,0,23.54,50.73,954.61,0,0.14,0,0,0.02,0,0,214.89,0.17,0.12,8.9,0,0,8.46,0,0,4,0,0,0.95,0.95,0.95,49.94,0,29,42,49,2015,773,4,0,1,652,390,631,1,2,0,14.89,14.89,6.11,55.68,0,7.2,7.6,7.83,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:08:00,08/11/2022,08/11/2022 0:08,0,23.52,50.83,954.59,0,0.14,0,0,0.02,0,0,214.9,0.17,0.12,8.91,0,0,8.46,0,0,4,0,0,0.95,0.95,0.95,49.94,0,30,44,52,2022,787,4,0,1,730,302,631,1,2,0,14.89,14.89,6.09,55.63,0,7.2,7.6,7.85,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:09:00,08/11/2022,08/11/2022 0:09,0,23.64,50.64,954.62,0,0.14,0,0,0.02,0,0,214.92,0.17,0.12,8.91,0,0,8.46,0,0,4,0,0,0.95,0.95,0.95,49.94,0,31,45,57,2015,773,4,0,1,649,503,631,1,2,0,14.89,14.89,6.08,55.59,0,7.2,7.6,7.87,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
1.67E+12,0:10:00,08/11/2022,08/11/2022 0:10,0,23.64,50.48,954.63,0,0.14,0,0,0.02,0,0,214.93,0.17,0.12,8.91,0,0,8.47,0,0,4,0,0,0.95,0.95,0.95,49.94,0,30,43,52,2031,803,4,0,1,669,315,631,1,2,0,14.88,14.88,6.07,55.55,0,7.2,7.6,7.88,1018,5,0,0,-1,33.8,0.98,18.06972789,0.6,0,31.6,1.05,26.27728508,1.06,-1,30.1,0.98,30.69387755,0.73,-1,34,1.05,17.35891933,0.61
